headlines,terms,dates,scores
trump met with brazilian official who tested positive for coronavirus,trump,2020-03-12,3
anger grows at trump administration's coronavirus testing failures,trump,2020-03-12,2
donald trump is the very worst person to handle the coronavirus crisis,donald,2020-03-12,1
donald trump is the very worst person to handle the coronavirus crisis,trump,2020-03-12,1
why did donald trump exclude the uk from his coronavirus travel ban?,donald,2020-03-12,2
why did donald trump exclude the uk from his coronavirus travel ban?,trump,2020-03-12,2
majority of white evangelical protestants in us believe trump serves their interests,trump,2020-03-12,2
trump’s coronavirus ban on travel from the eu is backfiring already,trump,2020-03-12,2
thursday briefing: trump cuts us off from eu countries over virus,trump,2020-03-12,2
coronavirus: trump suspends european travel as global recession fears intensify,trump,2020-03-12,2
trump says us to suspend travel from europe in coronavirus speech – as it happened,trump,2020-03-12,2
‘he’s gonna get us all killed’: sense of unease after trump coronavirus speech,trump,2020-03-12,1
trump suspends travel from most of europe amid coronavirus outbreak,trump,2020-03-12,2
coronavirus contact: ivanka trump works from home after meeting peter dutton,trump,2020-03-13,2
why joe biden won another week in us politics – and republicans lost,joe,2020-03-13,1
why joe biden won another week in us politics – and republicans lost,biden,2020-03-13,1
the sick joke of donald trump's presidency isn't funny any more,donald,2020-03-13,1
the sick joke of donald trump's presidency isn't funny any more,trump,2020-03-13,1
the special relationship review – compelling tales in trump cabaret,trump,2020-03-13,3
headlong theatre company appoints joe hill-gibbins as new artistic director,joe,2020-03-13,3
bernie or bust: the sanders fans who will never vote for biden,biden,2020-03-13,2
trump has 'no plans' for coronavirus test despite contact with infected bolsonaro aide – as it happened,trump,2020-03-13,1
joe root says england players’ minds were elsewhere over coronavirus,joe,2020-03-14,2
level of inconsistency over joe marler’s ban for an act without malice,joe,2020-03-14,2
be careful. trump may exploit the coronavirus crisis for authoritarian ends,trump,2020-03-14,2
"teen models, powerful men and private dinners: when trump hosted look of the year",trump,2020-03-14,3
'he's an idiot': critics say trump has failed the us in this test of reassurance,trump,2020-03-14,1
'i don't take responsibility': trump shakes hands and spreads blame over coronavirus,trump,2020-03-14,1
donald trump declares national emergency over coronavirus pandemic,donald,2020-03-14,2
donald trump declares national emergency over coronavirus pandemic,trump,2020-03-14,2
trump says he takes 'no responsibility' for coronavirus failures as he declares national emergency – as it happened,trump,2020-03-14,1
trump aide mnuchin: us does not face recession though shutdowns mount,trump,2020-03-15,2
"morning mail: coronavirus deaths spike in europe, trump criticism, truganini's true story",trump,2020-03-15,1
donald trump 'strongly considering full pardon' for michael flynn,donald,2020-03-15,2
donald trump 'strongly considering full pardon' for michael flynn,trump,2020-03-15,2
trump 'offers large sums' for  exclusive us access to coronavirus vaccine,trump,2020-03-15,2
coronavirus: governor tells trump to 'get shit together' amid airport chaos,trump,2020-03-15,2
'we love him': biden's hometown of scranton highlights his earthy appeal,biden,2020-03-15,3
"coronavirus: trump's stumbles and testing failures pave way to disaster, experts say",trump,2020-03-15,1
the acid test of trump's maverick leadership has come – can he save himself?,trump,2020-03-15,2
"'sledgehammer on trump, scalpel on sanders': biden approaches key debate",trump,2020-03-15,2
"'sledgehammer on trump, scalpel on sanders': biden approaches key debate",biden,2020-03-15,2
trump tests negative for coronavirus and expands travel ban to uk and ireland,trump,2020-03-15,1
"new vaccines must not be monopolised, g7 tells donald trump",donald,2020-03-16,1
"new vaccines must not be monopolised, g7 tells donald trump",trump,2020-03-16,1
joe biden's pledge to name a woman as running mate fires speculation,joe,2020-03-16,2
joe biden's pledge to name a woman as running mate fires speculation,biden,2020-03-16,2
bernie sanders lost his last chance to take joe biden down,joe,2020-03-16,2
bernie sanders lost his last chance to take joe biden down,biden,2020-03-16,2
"us briefing: global coronavirus deaths, biden v sanders, and michael flynn",biden,2020-03-16,2
coronavirus: anger in germany at report trump seeking exclusive vaccine deal,trump,2020-03-16,1
biden and sanders clash over coronavirus and healthcare in first one-on-one debate – as it happened,biden,2020-03-16,2
who won the biden-sanders debate? our panelists weigh in,biden,2020-03-16,2
sanders and biden were far apart on how to survive the disaster ahead,biden,2020-03-16,2
biden and sanders confront coronavirus crisis in first one-on-one debate,biden,2020-03-16,2
joe biden pledges to choose a woman as his running mate,joe,2020-03-16,2
joe biden pledges to choose a woman as his running mate,biden,2020-03-16,2
"trump tells us 'relax, we're doing great' as his virus expert says worst is yet to come",trump,2020-03-16,1
